brand,model,year,mileage,fuel_type,engine,transmission,price
Chevrolet,Tahoe Premier,2021,41050,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,62900
Jeep,Compass Limited,2020,39192,Gasoline,2.4L I4 16V MPFI SOHC,9-Speed Automatic,24590
BMW,430 430i,2022,7758,Gasoline,2.0 Liter Turbo,Automatic,47998
Ford,Bronco Sport Outer Banks,2021,31654,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,33410
Acura,MDX Technology,2022,15895,Gasoline,3.5L V6 24V GDI SOHC,10-Speed Automatic,47950
Bentley,Bentayga Speed,2020,15109,Gasoline,6.0L W12 48V PDI DOHC Twin Turbo,8-Speed Automatic,162950
Rolls-Royce,Cullinan,2022,398,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,695000
Genesis,GV70 2.5T,2022,20319,Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,44249
Lexus,GX 460 Base,2021,40906,Gasoline,4.6 Liter,Automatic,51998
BMW,ALPINA B7 ALPINA B7 xDrive,2020,33749,Gasoline,4.4 Liter Twin Turbo,Automatic,85998
BMW,M4 Competition xDrive,2023,1120,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,92900
Jeep,Grand Cherokee L Limited,2021,26088,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,38383
Kia,Forte GT-Line,2022,14950,Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,24000
BMW,X6 M Base,2022,10376,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,98900
RAM,ProMaster 3500 High Roof,2021,18500,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,41950
Volkswagen,Atlas Cross Sport 3.6L V6 SEL Premium,2021,24596,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,38322
Hyundai,Santa Fe SEL,2021,2905,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,27599
Audi,A7 55 Premium Plus,2022,15000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,63000
Mercedes-Benz,AMG G 63 4MATIC,2022,2000,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,244896
BMW,ALPINA B7 ALPINA B7 xDrive,2020,65852,Gasoline,4.4 Liter Twin Turbo,Automatic,68998
Bentley,Bentayga Azure First Edition,2023,1335,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,272950
Toyota,Tundra SR5,2022,29322,Gasoline,3.4L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,44999
Ford,F-150 XLT,2020,67516,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,36994
Ford,Expedition Max King Ranch,2020,52000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,53722
Genesis,GV70 2.5T,2022,11000,Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,48950
BMW,X6 M Base,2023,7000,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,144900
RAM,1500 Longhorn,2023,4285,Gasoline,5.7L V8 16V MPFI OHV,Automatic,65688
Land Rover,Range Rover Velar SVAutobiography Dynamic Edition,2020,59355,Gasoline,V8,Automatic,72995
Chevrolet,Bolt EUV Premier,2022,31000,,200.0HP Electric Motor Electric Fuel System,1-Speed A/T,36000
Genesis,G70 2.0T,2023,2046,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,43499
Chevrolet,Trailblazer LS,2021,24965,Gasoline,1.2L I3 12V GDI DOHC Turbo,Automatic CVT,22995
Lexus,LX 600 Premium,2023,1500,Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,119500
Tesla,Model Y Long Range,2020,23100,,425.0HP Electric Motor Electric Fuel System,A/T,36495
Toyota,Supra A91-MT Edition,2023,1500,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,84900
BMW,X7 xDrive40i,2022,38671,Hybrid,3.0 Liter Turbo,Automatic,66998
Maserati,Grecale Modena,2023,2200,Hybrid,325.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,75000
Lexus,RX 450h Base,2022,15833,Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,52000
BMW,X7 M50i,2021,7121,Gasoline,4.4 Liter Twin Turbo,Automatic,94998
Hyundai,Tucson Hybrid SEL Convenience,2023,3402,Hybrid,226.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,A/T,44000
BMW,X7 xDrive40i,2021,30309,Hybrid,3.0 Liter Turbo,Automatic,63598
Ford,Mustang Mach-E California Route 1,2021,24000,,290.0HP Electric Motor Electric Fuel System,1-Speed A/T,38000
Volkswagen,Arteon 2.0T SEL Premium R-Line,2020,26870,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,34645
BMW,X7 ALPINA XB7,2022,4514,Gasoline,4.4 Liter Twin Turbo,Automatic,132998
RAM,2500 Tradesman,2022,1300,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,48000
BMW,X6 M Base,2021,11102,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,101000
Kia,Sportage Plug-In Hybrid X-Line,2023,1340,Plug-In Hybrid,177.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,41000
Ford,Mustang Mach-E Premium,2021,17850,,266.0HP Electric Motor Electric Fuel System,A/T,41999
Jeep,Wrangler Rubicon,2023,7000,Hybrid,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,46000
Porsche,Panamera 4 Platinum Edition,2022,10627,Gasoline,"2.9L V-6 gasoline direct injection, DOHC, variable valve control","Automatic, 8-Spd PDK Dual-Clutch",99000
Ford,Explorer XLT,2020,67015,Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,28590
Ford,Mustang Mach-E Premium,2022,5800,,346.0HP Electric Motor Electric Fuel System,1-Speed A/T,42500
Ford,Expedition Limited,2021,23842,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,59203
Rivian,R1S Adventure Package,2023,2108,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,91000
Ford,Bronco Wildtrak Advanced,2022,15600,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,68995
Lexus,LC 500 Base,2021,22400,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,81900
BMW,M4 Base,2023,15000,Gasoline,"3L I-6 gasoline direct injection, DOHC, Double VANOS variable va","Automatic, 8-Spd M STEPTRONIC w/Drivelogic, Sport & Manual Modes",81000
Cadillac,Escalade Sport,2023,3000,Diesel,277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,A/T,123999
Toyota,GR86 Premium,2023,1075,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,35000
Ford,Bronco Raptor,2023,2489,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,10-Speed Automatic,98900
Hyundai,Santa Fe SEL,2021,25000,Gasoline,191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,28500
Jaguar,F-PACE S,2020,28357,Gasoline,3.0 Liter,Automatic,47598
Ford,Expedition Limited,2021,45000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,52000
BMW,M440 i,2021,13700,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,60000
Lexus,IS 350 F Sport,2023,20121,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,47124
Mercedes-Benz,Metris Base,2020,3921,Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic,175000
Toyota,Supra A91 Edition,2021,6400,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,68000
Mercedes-Benz,GLE 350 Base 4MATIC,2021,15042,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,54599
Hyundai,Sonata Hybrid Limited,2022,30565,Hybrid,192.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,29000
Jeep,Grand Cherokee L Limited,2021,25968,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,38405
Porsche,Macan,2021,21613,Gasoline,2.0 Liter,Automatic,58998
Audi,Q3 S line Premium Plus,2022,17377,Gasoline,2.0 Liter TFSI,Automatic,39998
GMC,Acadia SLE,2020,30426,Gasoline,2.5L I4 16V GDI DOHC,9-Speed Automatic,29645
Mazda,CX-9 Carbon Edition,2021,27836,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,36969
Chevrolet,Corvette Stingray w/1LT,2023,3273,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,78999
Ferrari,Roma Base,2022,2250,Gasoline,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,259500
Ford,Transit-350 XLT,2021,48000,E85 Flex Fuel,275.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,A/T,57000
Volkswagen,Arteon SEL R-Line,2022,18655,Gasoline,2.0 Liter TSI,Automatic,38698
Genesis,G80 2.5T,2022,7396,Gasoline,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,41299
Maserati,Quattroporte Modena Q4,2023,8603,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,125900
Nissan,Rogue S,2022,21212,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,28906
BMW,M440 i xDrive,2021,24300,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,49999
Volvo,S60 T6 Momentum,2020,46250,Gasoline,2.0L I4 16V GDI DOHC,8-Speed Automatic,27800
Mazda,CX-9 Touring Plus,2023,1930,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,40655
Chrysler,Pacifica Hybrid Touring L,2022,61494,Hybrid,3.6L V6 24V MPFI DOHC Hybrid,Automatic CVT,35850
Jeep,Wrangler Unlimited Sport,2020,24040,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,35273
Land Rover,Discovery Sport S R-Dynamic,2022,23568,Gasoline,2.0 Liter,Automatic,44998
Mazda,Mazda6 Touring,2020,78700,Gasoline,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,18000
Kia,K5 EX,2021,11154,Gasoline,1.6L I4 16V GDI DOHC Turbo,8-Speed Automatic,28998
Kia,Telluride SX,2020,55400,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,36500
BMW,M4 Base,2020,29140,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,71995
BMW,M340 i xDrive,2022,9000,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,56900
Mercedes-Benz,AMG GLE 53 AMG GLE 53,2021,5595,Hybrid,3.0 Liter Turbo,Automatic,83598
RAM,1500 Laramie,2022,34121,Gasoline,5.7L V8 16V MPFI OHV,Automatic,48190
BMW,X5 M Base,2022,8307,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,98900
BMW,M3 Base,2023,4106,Gasoline,3.0L I6 24V GDI DOHC Twin Turbo,6-Speed Manual,84645
Acura,RDX Advance Package,2021,29000,Gasoline,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,39650
Mercedes-Benz,Sprinter 3500XD High Roof,2021,33300,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,7-Speed A/T,45000
Land Rover,Range Rover SV Autobiography Dynamic SWB,2020,16754,Gasoline,557.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,112000
Lincoln,Corsair Reserve,2021,29336,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,36999
Acura,ILX Premium Package,2022,16120,Gasoline,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,26599
Mazda,CX-30 2.5 S Select Package,2022,4004,Gasoline,186.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,25500
Bentley,Continental GT V8,2022,10972,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,217950
Bentley,Flying Spur V8,2022,27858,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,197750
Hyundai,Tucson Limited,2020,39913,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,22749
Mercedes-Benz,AMG G 63 Base,2020,1750,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,199995
Dodge,Challenger SRT Hellcat,2020,2750,Gasoline,797.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,104500
Ford,F-250 XL,2021,77699,Diesel,6.7L V8 32V DDI OHV Turbo Diesel,Automatic,49883
Chevrolet,Suburban LT,2020,93000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,38500
Toyota,Sequoia SR5,2023,1539,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,76373
Mazda,Mazda3 FWD w/Premium Package,2022,21701,Gasoline,2.5L I4 16V,6-Speed Automatic,25099
Genesis,G80 3.8,2020,23600,Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,31900
Nissan,Leaf SV PLUS,2023,7089,,214.0HP Electric Motor Electric Fuel System,1-Speed A/T,29895
Kia,Telluride EX,2022,14676,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,46787
Lincoln,Navigator Reserve,2022,13750,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,79999
Audi,A7 55 Premium,2020,27100,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,50000
Land Rover,Range Rover HSE SWB,2020,16000,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,75500
Land Rover,Defender S,2023,15200,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,62999
Kia,K5 GT-Line,2022,10971,Gasoline,1.6L I4 16V GDI DOHC Turbo,8-Speed Automatic,29998
Kia,Stinger GT1,2021,8288,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,45899
Chevrolet,Camaro ZL1,2023,2950,Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,74500
Kia,Telluride LX,2023,5500,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,40000
Cadillac,Escalade Premium Luxury Platinum,2021,15350,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,93500
BMW,X7 xDrive40i,2020,45241,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,54500
Audi,e-tron Premium,2021,18031,,Electric,1-Speed Automatic,39599
Toyota,Sequoia Limited,2023,8200,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,78900
Land Rover,Range Rover Sport HST MHEV,2020,19000,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,74900
Jeep,Grand Cherokee L Limited,2022,12875,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,42599
Mercedes-Benz,C-Class 4MATIC Sedan,2022,9612,Gasoline,"2L I-4 gasoline direct injection, DOHC, variable valve control,","Automatic, 9-Spd 9G-Tronic",43900
Land Rover,Range Rover Sport First Edition,2023,3534,Hybrid,4.4 Liter,Automatic,143998
Audi,Q8 55 Premium Plus,2021,14750,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,61059
INFINITI,QX60 Pure,2020,39000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,29900
Maserati,MC20 MC20,2022,1220,Gasoline,"Nettuno 3L V-6 port/direct injection, DOHC, variable valve contr","Automatic, 8-Spd Dual-Clutch",238900
Land Rover,Defender SE,2023,8421,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,90000
BMW,M8 Base,2020,25520,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,84900
Tesla,Model Y Performance,2020,30554,,Electric,1-Speed Automatic,41999
Volvo,C40 Recharge Pure Electric Twin Ultimate,2023,17000,,402.0HP Electric Motor Electric Fuel System,A/T,54900
Land Rover,Range Rover P525 HSE SWB,2020,49899,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,64500
Mercedes-Benz,G-Class G 550,2020,20622,Gasoline,4.0 Liter Twin Turbo,Automatic,142998
RAM,1500 Big Horn,2022,19376,Gasoline,5.7L V8 16V MPFI OHV,Automatic,45861
Audi,R8 5.2 V10 performance,2020,12245,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,187900
Chevrolet,Camaro 1SS,2022,7600,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,46000
Toyota,Camry Hybrid LE,2022,20400,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,29900
Jeep,Wrangler Sahara,2020,22138,Gasoline,3.6 Liter,Automatic,38598
Mercedes-Benz,G-Class G 550 4MATIC,2021,76100,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,130000
Lexus,RX 350 RX 350 F SPORT Handling,2022,14330,Gasoline,3.5 Liter DOHC,Automatic,54998
Hyundai,Santa Cruz 2.5T Limited,2022,22829,Gasoline,2.5L I4 16V PDI DOHC Turbo,Automatic,34580
Lexus,RX 350 F Sport,2023,5483,Gasoline,2.4L I4 16V PDI DOHC Turbo,8-Speed Automatic,59950
Land Rover,Range Rover Evoque S,2020,46891,Gasoline,246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,31000
Porsche,718 Spyder Base,2020,3400,Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,129900
Chevrolet,Camaro 1LT,2021,18000,Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,30000
Jeep,Gladiator Freedom,2021,30630,Gasoline,3.6 Liter,Automatic,39998
GMC,Yukon Denali Ultimate,2023,9978,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,93999
Cadillac,Escalade Premium Luxury Platinum,2021,72843,Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,79990
Tesla,Model X Long Range Plus,2020,43534,,534.0HP Electric Motor Electric Fuel System,1-Speed A/T,65990
Kia,Telluride EX,2022,35938,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,43329
Toyota,Tundra Hybrid Limited,2023,10748,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,63100
Audi,S8 4.0T quattro,2023,4457,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,107900
Land Rover,Discovery HSE,2020,32705,Diesel,3.0 Liter,Automatic,46598
Kia,Telluride S,2020,74026,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,32913
Lexus,GS 350 F Sport,2020,24651,Gasoline,3.5L V6 24V PDI DOHC,6-Speed Automatic,45950
BMW,X6 xDrive40i,2022,13000,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,69000
Land Rover,Range Rover P400 SE SWB,2023,11700,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,133500
Ford,Expedition Limited,2021,29830,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,55329
Lexus,RX 450h F SPORT Handling,2021,31365,Hybrid,3.5 Liter DOHC,Variable,52998
Tesla,Model Y Long Range,2023,4786,,425.0HP Electric Motor Electric Fuel System,A/T,48000
Audi,RS 3 2.5T,2023,1900,Gasoline,401.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,78900
Genesis,G70 2.0T,2023,2121,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,40750
Mercedes-Benz,S-Class S 560 4MATIC,2020,22000,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,69500
Ford,Bronco Wildtrak Advanced,2023,2000,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,66500
Jeep,Grand Cherokee L Overland,2022,31804,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,48995
Tesla,Model X Base,2023,197,,670.0HP Electric Motor Electric Fuel System,A/T,85000
Cadillac,CT4 Luxury,2020,35200,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,28500
RAM,1500 Limited,2021,22000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,54800
Mercedes-Benz,AMG E 53 Base 4MATIC,2022,13000,Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,81500
Kia,Niro EX,2023,7578,Hybrid,1.6L I4 16V GDI DOHC Hybrid,Automatic,31113
Mercedes-Benz,G-Class G 550 4MATIC,2021,22480,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,135800
Audi,RS 7 4.0T,2022,4100,Hybrid,591.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,162500
Porsche,911 Carrera,2020,23278,Gasoline,3.0 Liter,Automatic,114998
Jeep,Wagoneer Series III,2022,17381,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,69685
Kia,EV6 GT-Line,2022,4820,,320.0HP Electric Motor Electric Fuel System,1-Speed A/T,47500
BMW,M5 Base,2023,816,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,109900
Land Rover,Defender X-Dynamic SE,2023,3678,Hybrid,3.0 Liter,Automatic,81998
BMW,M8 Competition,2022,5018,Gasoline,4.4 Liter Twin Turbo,Automatic,114998
Chrysler,300 Touring,2021,21478,Gasoline,3.6 Liter,Automatic,27798
Honda,Insight EX,2020,64200,Hybrid,151.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,20499
Tesla,Model Y Performance,2022,25250,,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,47800
BMW,M5 Competition,2020,35400,Gasoline,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,71950
Ford,F-250 Platinum,2021,48549,Diesel,6.7L V8 32V DDI OHV Turbo Diesel,Automatic,69998
Kia,Seltos S,2023,5182,Gasoline,146.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,32500
BMW,M760 M760i xDrive,2020,23430,Gasoline,6.6 Liter Twin Turbo,Automatic,80998
Toyota,Tundra SR5,2021,33455,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,44750
BMW,X1 sDrive28i,2022,43000,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,35750
Chevrolet,Camaro ZL1,2020,3715,Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,150000
Mercedes-Benz,C-Class C 300 4MATIC,2022,8583,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,42999
Mercedes-Benz,AMG GT C,2020,6600,Gasoline,550.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,128900
Chevrolet,Camaro 2SS,2023,2300,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,51500
Audi,Q7 Premium Plus,2023,10601,Hybrid,3.0 Liter TFSI,Automatic,61998
GMC,Sierra 2500 AT4,2022,31681,Gasoline,6.6L V8 16V GDI OHV,Automatic,67963
Cadillac,XT6 Sport AWD,2020,24114,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,49427
Jeep,Grand Cherokee L Laredo,2022,22109,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,43389
INFINITI,QX80 Luxe,2022,49860,Gasoline,5.6L V8 32V GDI DOHC,Automatic,47645
Mercedes-Benz,AMG C 63 S,2021,13650,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,75000
BMW,X6 M Base,2021,18000,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,94000
Rivian,R1S Launch Edition,2023,4500,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,89999
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,9408,Hybrid,2.0L I4 16V GDI DOHC Hybrid,8-Speed Automatic,61999
Tesla,Model Y Long Range,2023,5844,,425.0HP Electric Motor Electric Fuel System,A/T,52000
Toyota,Supra 3.0 Premium,2022,24850,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,53568
Lincoln,Nautilus Reserve,2021,17467,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,43860
Toyota,bZ4X Limited,2023,6548,,Electric,Automatic,41999
RAM,1500 Classic SLT,2021,32092,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,35113
Tesla,Model X Performance,2020,27224,,Electric,1-Speed Automatic,65999
Tesla,Model Y Long Range,2021,14642,,425.0HP Electric Motor Electric Fuel System,A/T,48500
Ford,Expedition Max XLT,2021,84351,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,42691
Mercedes-Benz,AMG GT 63 S 4-Door,2020,40000,Gasoline,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,112500
Porsche,Taycan Turbo,2020,21028,,Dual AC Electric Motors,Single-Speed Fixed Gear,96900
Maserati,Levante Modena,2023,5409,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,88950
Dodge,Challenger SRT Hellcat,2020,12700,Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,69900
Mazda,Mazda6 Touring,2021,19000,Gasoline,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,25900
Tesla,Model Y Long Range,2022,12055,,425.0HP Electric Motor Electric Fuel System,A/T,44400
BMW,M2 Competition,2020,25013,Gasoline,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,55000
